shot,start,end,dur_s,type,tool,narration,visual,camera,transition
15,2:20,2:30,10,VID,Kling/Hailuo free,And the ceiling above it was not flat. Not smooth. Not anything the models had drawn. It was carved into shapes.,"Underside of glacier from dark water, one hard lamp raking across carved ice",Slow upward crane,"Hard cut - no transition, let the reveal land"
16,2:30,2:40,10,VID,Kling/Hailuo free,"Terraces, like a staircase. Deep vertical cracks. Sloped walls. An entire hidden landscape, hanging upside down above the water.","Terraced ice ceiling, deep fissures, sloped walls, lit from below",Tilt up + slow track along ceiling,Hard cut. HERO SHOT - also your thumbnail frame.
17,2:40,2:50,10,GFX,DaVinci Fusion,"Then the team compared melt rates across that landscape, and the result did not match the predictions. Not even close.","Split screen: flat ice plate vs crevassed plate, melt arrows on both","Static split, arrows animate",Hard cut
18,2:50,3:00,10,GFX,DaVinci Fusion,"Across the flat stretches, the ice was melting more slowly than expected. Slower. That was better news than anyone had hoped for.","Flat-ice panel alone, slow melt arrows, downward trend line",Slow push-in on panel,Hard cut
19,3:00,3:10,10,GFX,DaVinci Fusion,"But inside the cracks, and along the sloped walls, the melting was fast. In places, several times faster than the flat ice.","Crevasse panel alone, rapid melt arrows cutting into walls","Slow push-in, faster arrow animation than 18",Hard cut - the speed contrast IS the point
20,3:10,3:20,10,IMG,Free image gen,"So the glacier was not dissolving evenly, like an ice cube in a glass. It was being unpicked, along its weak points.","Two ice blocks: left smooth and rounded, right split along sharp seams",Slow reveal left to right,Dip to black - end of Act 3
21,3:20,3:30,10,GFX,DaVinci Fusion,That distinction matters far more than the raw numbers. Here is exactly why it changes every forecast we had.,"Kinetic type over darkened, slowly drifting shot-16 plate",Slow drift under text,Hard cut
22,3:30,3:40,10,GFX,DaVinci Fusion,"Ice that melts evenly shrinks. Slowly. Predictably. You can model that, and project a century ahead with some confidence.",Smooth shrinking volume with a steady confident projection curve,"Static, animation carries it",Hard cut
23,3:40,3:50,10,STOCK,Pexels / NOAA,"Ice that fails along its cracks does not shrink. It fractures. And fracturing holds, and holds, and then goes all at once.",Real glacier calving - ice face collapsing into water,As shot,Hard cut on the impact
24,3:50,4:00,10,GFX,DaVinci Fusion,"Now add the ground. The bedrock slopes inland and downward, so every retreat carries the glacier into deeper water.",Shot 07 plate + grounding line retreating down the reverse slope,"Hold, retreat animates",Hard cut
25,4:00,4:10,10,GFX,DaVinci Fusion,"Deeper water means more warm ocean touching more ice, which pushes the grip point back further, into deeper water again.","IDENTICAL to 24, one step further back",Identical move to 24,Hard cut. The repeat is the argument.
26,4:10,4:20,10,GFX,DaVinci Fusion,"That is a feedback loop. A system that, once it truly starts, helps itself along without needing any more push.",Circular loop diagram: retreat > warm water > retreat,"Static, loop draws on",Hard cut
27,4:20,4:30,10,GFX,DaVinci Fusion,"And I want to be straight with you, because this part gets exaggerated constantly. We do not know Thwaites has crossed that line.",Two-column type: 'What we know' / 'What we don't',"Static, calm, no movement",Hard cut - stillness signals honesty
28,4:30,4:40,10,GFX,DaVinci Fusion,Scientists genuinely disagree on how close it is. Some models say centuries. Anyone giving you a firm date is selling something.,Divergent projection curves fanning into a wide uncertainty cone,Slow push-in as cone widens,Hard cut
29,4:40,4:50,10,GFX,DaVinci + NASA,"Thwaites alone holds enough ice to raise global sea level by half a metre. It also acts as a cork, holding back far more.","Thwaites highlighted, then wider West Antarctic sheet lights up behind",Slow zoom out,Hard cut
30,4:50,5:00,10,VID,Kling/Hailuo free,We built a robot to discover our own planet wasn't shaped the way we thought. What would you send a camera into? Subscribe.,"Looking up a narrow ice shaft at a distant circle of daylight, lamps receding",Camera falls slowly away from the light,Fade to black over final 2s
